"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"901208213336535041","","","2017-08-25 22:22:36 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GOWHS_FOOTBALL: Varsity Football https://t.co/rYoo9V7mr9

Tonight's Game will be Aired by Richmond-Burton High School","901188184805126145","2584780470","2017-08-25 21:03:01 +0000","https://shar.es/1Sh6OW,https://shar.es/1Sh6OW"
"901208159066484736","901188184805126145","2584780470","2017-08-25 22:22:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GOWHS_FOOTBALL This is good news! I won't be able to get to the game tonight bc of this little scooter, but now I can peek in! https://t.co/WHHK09IuKY","","","","https://twitter.com/MrWSci/status/901208159066484736/video/1"
"901174030287466496","","","2017-08-25 20:06:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Day 8: (White)Board meetings! Groups are explaining rankings for avg velocity on x-t graphs.
#teach180 #modphys #D118Life #BulldogPhysics https://t.co/2Pzxys0W9A","","","","https://twitter.com/MrWSci/status/901174030287466496/photo/1"
"900807688329801728","900778526475005953","741251584311451648","2017-08-24 19:51:03 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","@BelcherPhys I like the idea of interweaving rotational &amp; linear. Hmm...","","","",""
"900501183571398656","","","2017-08-23 23:33:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @MrsChaseEnglish: Such powerful discussions with my sophomores while they worked on writing their own ""This I Believe"" stories, I came h…","900465074829238272","765940631285952513","2017-08-23 21:09:38 +0000",""
"900365392035553280","","","2017-08-23 14:33:32 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Mrs_Yost8: @Wauconda60084 @BulldogLife_WHS ""Roses are red, Violets are blue...Please put Buster on the new water tower!!!"" https://t.co…","900330573906022400","3875763263","2017-08-23 12:15:10 +0000","https://twitter.com/Mrs_Yost8/status/900330573906022400/photo/1"
"900170451359588352","","","2017-08-23 01:38:54 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Wauc_Boosters: @Wauconda60084 @BulldogLife_WHS @GoWHSAthletics @WaucondaHS118 
Like and retweet if you agree! https://t.co/q0gDnUGW49","899626037960728576","3207241474","2017-08-21 13:35:36 +0000","https://twitter.com/Wauc_Boosters/status/899626037960728576/photo/1,https://twitter.com/Wauc_Boosters/status/899626037960728576/photo/1"
"900140499771805700","","","2017-08-22 23:39:53 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @Mrs_Yost8: Freshmen Bulldog Soccer team takes the lead with 5 minutes left!!! Go Dogs!!!!💜⚽️💛","900127515276189697","3875763263","2017-08-22 22:48:17 +0000",""
"900105388871344129","","","2017-08-22 21:20:22 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","That's fancy! https://t.co/0dwOGmXInE","","","","https://twitter.com/missrealtweets/status/900102373900787712"
"900056345919062017","","","2017-08-22 18:05:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Baldino_Science: Time to DO SCIENCE! P1 is killing it today! https://t.co/WXHJA0475q","899978716679417856","896033721400406016","2017-08-22 12:57:01 +0000","https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1,https://twitter.com/Baldino_Science/status/899978716679417856/photo/1"
"900056213135732737","","","2017-08-22 18:04:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","After a few tribulations with not-so-great photo centers, I finally have pics of my daughter up. https://t.co/8Rkffg1YMX","","","","https://twitter.com/MrWSci/status/900056213135732737/photo/1"
"900050775648481280","900050098318712832","894951968967458817","2017-08-22 17:43:21 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","If you /really/ want a deep dive (🤓), check out https://t.co/N0MYHsrmrt [PDF alert].
Pages 13-16 discuss the uses of the inventory. #EduNerd","","","","http://modeling.asu.edu/R&E/FCI.PDF"
"900050098318712832","","","2017-08-22 17:40:40 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Today we're taking the Mechanics Inventory in Physics &amp; AP 1. Why? 
1) To help me identify misconceptions
2) To help assess my effectiveness","","","",""
"899760170401705988","","","2017-08-21 22:28:36 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","And for a brief moment, the clouds thinned and the eclipsed Sun shone through. #D118Life @… https://t.co/NGr0RSsF2g","","","","https://www.instagram.com/p/BYEpaVoB-Bi/"
"899718398040518662","","","2017-08-21 19:42:36 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Some excellent peer discussion hashing out what exactly negative slope means on a position-time graph. #BulldogPhysics","","","",""
